Phase H4.0 Municipality Layer Audit

Global:
  municipality_ids in substrate: 141
  mun1990_ids represented: 0
  missing from mun1990_names: 0
  missing from post1995 mapping: 0
  name mismatch (names vs mapping): 0
  census_available: true, census_settlement_count: 6140

Per municipality (stable-sorted by municipality_id):
  11436 | Bosanski Petrovac | mun1990: (missing/conflict) | settlements: 35 (in_graph: 35, ungraphed: 0) | control RBiH=0 RS=35 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  11444 | Foča | mun1990: (missing/conflict) | settlements: 32 (in_graph: 32, ungraphed: 0) | control RBiH=32 RS=0 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  11452 | Goražde | mun1990: (missing/conflict) | settlements: 144 (in_graph: 144, ungraphed: 0) | control RBiH=144 RS=0 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  11479 | Gračanica | mun1990: (missing/conflict) | settlements: 23 (in_graph: 23, ungraphed: 0) | control RBiH=23 RS=0 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  11487 | Jajce | mun1990: (missing/conflict) | settlements: 58 (in_graph: 58, ungraphed: 0) | control RBiH=0 RS=0 HRHB=58 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  11495 | Kalesija | mun1990: (missing/conflict) | settlements: 28 (in_graph: 28, ungraphed: 0) | control RBiH=28 RS=0 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  11509 | Ključ | mun1990: (missing/conflict) | settlements: 41 (in_graph: 41, ungraphed: 0) | control RBiH=0 RS=41 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  11517 | Kupres | mun1990: (missing/conflict) | settlements: 36 (in_graph: 36, ungraphed: 0) | control RBiH=0 RS=36 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  11525 | Odžak | mun1990: (missing/conflict) | settlements: 14 (in_graph: 14, ungraphed: 0) | control RBiH=0 RS=0 HRHB=14 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  11533 | Orašje | mun1990: (missing/conflict) | settlements: 14 (in_graph: 13, ungraphed: 1) | control RBiH=0 RS=0 HRHB=13 null=1 | null%=7.14 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=true ungraphed_gt_0=true
  11541 | Sanski Most | mun1990: (missing/conflict) | settlements: 67 (in_graph: 67, ungraphed: 0) | control RBiH=67 RS=0 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  11550 | Ilidža | mun1990: (missing/conflict) | settlements: 12 (in_graph: 12, ungraphed: 0) | control RBiH=12 RS=0 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  11568 | Novo Sarajevo | mun1990: (missing/conflict) | settlements: 3 (in_graph: 3, ungraphed: 0) | control RBiH=1 RS=0 HRHB=0 null=2 | null%=66.67 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=true ungraphed_gt_0=false
  11576 | Pale | mun1990: (missing/conflict) | settlements: 15 (in_graph: 15, ungraphed: 0) | control RBiH=0 RS=15 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  11584 | Stari Grad Sarajevo | mun1990: (missing/conflict) | settlements: 8 (in_graph: 8, ungraphed: 0) | control RBiH=8 RS=0 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  11592 | Trnovo | mun1990: (missing/conflict) | settlements: 55 (in_graph: 55, ungraphed: 0) | control RBiH=55 RS=0 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  11606 | Stolac | mun1990: (missing/conflict) | settlements: 26 (in_graph: 26, ungraphed: 0) | control RBiH=0 RS=0 HRHB=26 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
